Date,Timestamp,Event_Log,Event_Log_Num,resetWallCountperEpisode,resetTotalCountperEpisode,reset00CountperEpisode,reset01CountperEpisode,resetbetCountperEpisode
20260203115810.175,264.8460,,,30,31,0,1,25.7993
20260203115810.181,264.8571,,,30,31,0,1,25.7993
20260203115810.182,264.8682,,,30,31,0,1,25.7993
20260203115810.184,264.8793,,,30,31,0,1,25.7993
20260203115810.185,264.8904,,,30,31,0,1,25.7993
20260203115810.187,264.9015,,,30,31,0,1,25.7993
20260203115810.189,264.9126,,,30,31,0,1,25.7993
20260203115810.191,264.9237,,,30,31,0,1,25.7993
20260203115810.192,264.9348,,,30,31,0,1,25.7993
20260203115810.194,264.9459,,,30,31,0,1,25.7993
20260203115810.196,264.9570,,,30,31,0,1,25.7993
20260203115810.197,264.9681,,,30,31,0,1,25.7993
20260203115810.199,264.9792,,,30,31,0,1,25.7993
20260203115810.201,264.9903,,,30,31,0,1,25.7993
20260203115810.202,265.0014,,,30,31,0,1,25.7993
20260203115810.203,265.0125,,,30,31,0,1,25.7993
20260203115810.206,265.0236,,,30,31,0,1,25.7993
20260203115810.207,265.0347,,,30,31,0,1,25.7993
20260203115810.209,265.0458,,,30,31,0,1,25.7993
20260203115810.211,265.0569,,,30,31,0,1,25.7993
20260203115810.212,265.0680,,,30,31,0,1,25.7993
20260203115810.214,265.0791,,,30,31,0,1,25.7993
20260203115810.216,265.0902,,,30,31,0,1,25.7993
20260203115810.217,265.1013,,,30,31,0,1,25.7993
20260203115810.219,265.1124,,,30,31,0,1,25.7993
20260203115810.224,265.1235,,,30,31,0,1,25.7993
20260203115810.227,265.1346,,,30,31,0,1,25.7993
20260203115810.228,265.1457,,,30,31,0,1,25.7993
20260203115810.230,265.1568,,,30,31,0,1,25.7993
20260203115810.232,265.1679,,,30,31,0,1,25.7993
20260203115810.234,265.1790,,,30,31,0,1,25.7993
20260203115810.251,265.1901,,,30,31,0,1,25.7993
20260203115810.253,265.2012,,,30,31,0,1,25.7993
20260203115810.254,265.2123,,,30,31,0,1,25.7993
20260203115810.256,265.2234,,,30,31,0,1,25.7993
20260203115810.257,265.2345,,,30,31,0,1,25.7993
20260203115810.259,265.2456,,,30,31,0,1,25.7993
20260203115810.260,265.2567,,,30,31,0,1,25.7993
20260203115810.262,265.2678,,,30,31,0,1,25.7993
20260203115810.263,265.2789,,,30,31,0,1,25.7993
20260203115810.266,265.2900,,,30,31,0,1,25.7993
20260203115810.268,265.3011,,,30,31,0,1,25.7993
20260203115810.269,265.3122,,,30,31,0,1,25.7993
20260203115810.270,265.3233,,,30,31,0,1,25.7993
20260203115810.272,265.3344,,,30,31,0,1,25.7993
20260203115810.274,265.3455,,,30,31,0,1,25.7993
20260203115810.276,265.3566,,,30,31,0,1,25.7993
20260203115810.278,265.3677,,,30,31,0,1,25.7993
20260203115810.279,265.3788,,,30,31,0,1,25.7993
20260203115810.281,265.3899,,,30,31,0,1,25.7993
20260203115810.283,265.4010,,,30,31,0,1,25.7993
20260203115810.284,265.4121,,,30,31,0,1,25.7993
20260203115810.286,265.4232,,,30,31,0,1,25.7993
20260203115810.288,265.4343,,,30,31,0,1,25.7993
20260203115810.289,265.4454,,,30,31,0,1,25.7993
20260203115810.291,265.4565,,,30,31,0,1,25.7993
20260203115810.293,265.4676,,,30,31,0,1,25.7993
