Date,Timestamp,Event_Log,Event_Log_Num,resetWallCountperEpisode,resetTotalCountperEpisode,reset00CountperEpisode,reset01CountperEpisode,resetbetCountperEpisode
20260203201001.009,266.7219,,,26,33,0,7,24.23487
20260203201031.131,533.2662,,,30,36,0,6,22.21534
20260203201100.611,793.7943,,,24,28,0,4,28.5611
20260203201130.894,1063.0470,,,32,38,0,6,21.0464
20260203201200.856,1329.4360,,,30,35,0,5,22.85053
20260203201230.770,1593.0720,,,30,32,0,2,24.99372
20260203201301.906,1860.8820,,,34,35,0,1,22.85003
20260203201328.818,2125.0620,,,30,34,0,4,23.52273
20260203201355.329,2385.1680,,,21,23,0,2,34.77308
20260203201421.904,2647.5280,,,23,26,0,3,30.75813
20260203201448.661,2912.3180,,,22,32,0,10,24.99507
20260203201515.605,3180.5160,,,29,34,0,5,23.52191
20260203201542.162,3444.1630,,,26,30,0,4,26.6589
20260203201608.573,3705.9240,,,28,29,0,1,27.57868
20260203201634.899,3967.2070,,,26,28,0,2,28.56345
20260203201701.867,4235.3820,,,28,33,0,5,24.23427
20260203201731.735,4496.8650,,,24,29,0,5,27.57828
20260203201759.553,4761.3780,,,27,34,0,7,23.52168
20260203201826.326,5026.5130,,,25,29,0,4,27.5761
20260203201852.833,5289.7830,,,28,31,0,3,25.79937
20260203201919.380,5553.2860,,,28,30,0,2,26.65864
20260203201946.136,5821.6500,,,32,38,0,6,21.04809
20260203202012.686,6085.5080,,,28,32,0,4,24.99252
20260203202039.124,6349.5330,,,32,34,0,2,23.52192
20260203202106.020,6616.1990,,,26,32,0,6,24.99378
20260203202132.828,6882.1330,,,25,29,0,4,27.57714
20260203202159.439,7144.4700,,,29,29,0,0,27.57868
20260203202226.161,7408.4730,,,27,30,0,3,26.65681
20260203202252.615,7671.1660,,,24,31,0,7,25.80119
20260203202319.386,7938.5530,,,29,36,0,7,22.2156
20260203202346.580,8209.7150,,,28,37,0,9,21.6166
20260203202413.029,8469.5110,,,22,23,0,1,34.77121
20260203202441.062,8736.4990,,,31,36,0,5,22.21534
20260203202508.001,9002.7100,,,25,33,0,8,24.23546
20260203202534.934,9270.0640,,,30,31,0,1,25.7998
20260203202601.542,9534.8660,,,25,32,0,7,24.99219
20260203202628.603,9804.9850,,,29,36,0,7,22.21548
20260203202655.123,10073.1200,,,25,29,0,4,27.5791
20260203202721.113,10334.1200,,,25,27,0,2,29.621
