Date,Timestamp,Event_Log,Event_Log_Num,resetWallCountperEpisode,resetTotalCountperEpisode,reset00CountperEpisode,reset01CountperEpisode,resetbetCountperEpisode
20260204092442.743,264.8793,,,30,33,0,3,24.23571
20260204092510.644,534.6981,,,32,36,0,4,22.21658
20260204092538.188,801.9750,,,32,34,0,2,23.52177
20260204092605.029,1060.1830,,,26,28,0,2,28.56323
20260204092632.279,1321.0440,,,27,27,0,0,29.62418
20260204092700.209,1590.6740,,,32,36,0,4,22.21478
20260204092727.690,1857.5520,,,27,33,0,6,24.23661
20260204092754.942,2126.3490,,,36,37,0,1,21.61553
20260204092821.619,2391.5840,,,31,37,0,6,21.61657
20260204092848.478,2657.4730,,,30,33,0,3,24.23292
20260204092915.095,2920.5540,,,28,30,0,2,26.65923
20260204092941.904,3184.9790,,,27,30,0,3,26.65928
20260204093009.230,3455.5190,,,24,31,0,7,25.7996
20260204093036.035,3723.2620,,,33,37,0,4,21.61592
20260204093102.875,3989.0180,,,25,31,0,6,25.79936
20260204093129.488,4254.6520,,,34,36,0,2,22.21522
20260204093156.320,4522.7280,,,27,37,0,10,21.61557
20260204093223.381,4793.5350,,,30,38,0,8,21.04737
20260204093249.668,5055.6060,,,27,30,0,3,26.66005
20260204093316.358,5322.9160,,,30,38,0,8,21.04665
20260204093342.858,5585.1870,,,25,27,0,2,29.62231
20260204093409.371,5848.3010,,,25,28,0,3,28.56482
20260204093436.026,6114.8130,,,30,36,0,6,22.21547
20260204093502.728,6381.1790,,,27,33,0,6,24.23591
20260204093529.439,6645.9470,,,27,29,0,2,27.57784
20260204093555.987,6910.6600,,,27,33,0,6,24.23698
20260204093622.734,7176.6940,,,25,30,0,5,26.66068
20260204093648.746,7433.5150,,,22,25,0,3,31.99021
20260204093715.358,7699.1600,,,30,34,0,4,23.52341
20260204093741.943,7966.0820,,,33,39,0,6,20.5084
20260204093808.662,8231.8930,,,26,30,0,4,26.65973
20260204093835.763,8502.1010,,,31,34,0,3,23.52142
20260204093902.678,8771.3640,,,31,37,0,6,21.61539
20260204093929.632,9040.0060,,,28,33,0,5,24.23627
20260204093955.933,9300.6680,,,24,30,0,6,26.65992
20260204094022.479,9564.1370,,,25,30,0,5,26.65907
20260204094049.296,9830.7260,,,30,33,0,3,24.23476
20260204094115.918,10096.8600,,,33,36,0,3,22.21449
20260204094142.748,10364.3300,,,24,34,0,10,23.52195
20260204094209.474,10627.8500,,,30,31,0,1,25.80035
