Date,Timestamp,Event_Log,Event_Log_Num,resetWallCountperEpisode,resetTotalCountperEpisode,reset00CountperEpisode,reset01CountperEpisode,resetbetCountperEpisode
20260413221705.386,316.0170,,,86,104,18,0,7.68987
20260413221723.720,620.0571,,,83,92,9,0,8.693309
20260413221741.801,929.2143,,,83,98,15,0,8.161478
20260413221800.243,1248.4060,,,83,102,19,0,7.840719
20260413221818.450,1557.5080,,,83,101,18,0,7.91814
20260413221836.549,1867.1530,,,82,99,17,0,8.078515
20260413221854.686,2180.6950,,,82,97,15,0,8.244802
20260413221913.032,2496.1680,,,86,102,16,0,7.841248
20260413221931.287,2807.8560,,,80,97,17,0,8.244713
20260413221949.497,3122.2740,,,83,104,21,0,7.690058
20260413222007.601,3435.7940,,,84,103,19,0,7.765163
20260413222025.580,3743.9190,,,83,98,15,0,8.161327
20260413222044.819,4057.7600,,,87,104,17,0,7.690197
20260413222103.864,4379.1050,,,89,109,20,0,7.337409
20260413222122.148,4687.3860,,,81,94,13,0,8.507524
20260413222140.280,4997.3090,,,86,94,8,0,8.507903
20260413222158.639,5309.4850,,,83,101,18,0,7.919147
20260413222216.516,5613.7580,,,77,92,15,0,8.692777
20260413222235.071,5936.4020,,,90,112,22,0,7.140411
20260413222253.275,6251.3640,,,84,103,19,0,7.764349
20260413222311.383,6562.0870,,,81,97,16,0,8.24485
20260413222329.691,6870.7110,,,79,96,17,0,8.331166
20260413222347.602,7175.9390,,,83,94,11,0,8.508038
20260413222405.976,7484.4410,,,82,96,14,0,8.33099
20260413222424.341,7791.1460,,,81,94,13,0,8.508319
20260413222442.774,8105.9080,,,84,96,12,0,8.33106
20260413222501.030,8420.1600,,,86,103,17,0,7.76487
20260413222519.166,8729.5060,,,80,97,17,0,8.244566
20260413222537.381,9042.6920,,,82,94,12,0,8.507862
20260413222555.584,9359.9860,,,85,103,18,0,7.764888
20260413222613.443,9668.1780,,,80,94,14,0,8.508468
20260413222631.294,9976.2140,,,81,94,13,0,8.508761
20260413222649.787,10288.3700,,,83,97,14,0,8.244618
20260413222707.738,10591.0100,,,80,93,13,0,8.59934
20260413222725.965,10904.4200,,,86,102,16,0,7.8416
20260413222744.067,11213.0600,,,77,95,18,0,8.4185
20260413222802.278,11525.6100,,,80,98,18,0,8.160584
20260413222820.294,11830.0600,,,79,88,9,0,9.08912
20260413222838.374,12138.6800,,,85,97,12,0,8.245329
20260413222856.492,12448.7400,,,89,104,15,0,7.69013
20260413222914.646,12758.9200,,,80,97,17,0,8.245502
20260413222932.765,13071.9500,,,88,104,16,0,7.69001
20260413222950.834,13377.8400,,,81,94,13,0,8.507846
20260413223009.075,13689.9200,,,86,100,14,0,7.997493
20260413223027.300,13999.7200,,,84,95,11,0,8.418571
20260413223045.663,14314.9700,,,79,97,18,0,8.24512
20260413223104.251,14633.8700,,,90,105,15,0,7.616906
20260413223122.198,14940.7200,,,79,91,12,0,8.788926
20260413223140.175,15253.3500,,,84,102,18,0,7.840513
20260413223158.339,15565.4000,,,82,97,15,0,8.245293
20260413223217.216,15881.6000,,,89,103,14,0,7.764972
20260413223235.554,16198.2000,,,88,109,21,0,7.336957
20260413223253.781,16510.9900,,,88,101,13,0,7.918176
20260413223311.592,16818.1100,,,81,93,12,0,8.600009
20260413223329.785,17131.7900,,,85,103,18,0,7.76481
20260413223348.478,17447.3600,,,84,104,20,0,7.690188
20260413223406.960,17762.2200,,,85,102,17,0,7.841141
20260413223425.086,18069.2700,,,84,97,13,0,8.245055
20260413223443.125,18375.1300,,,80,92,12,0,8.693116
20260413223502.162,18690.8700,,,85,101,16,0,7.918802
20260413223520.313,19001.6300,,,86,98,12,0,8.160921
20260413223538.834,19324.6900,,,85,103,18,0,7.765299
20260413223556.963,19635.7300,,,84,99,15,0,8.078926
20260413223615.129,19949.7200,,,84,102,18,0,7.840615
20260413223633.047,20257.1700,,,81,94,13,0,8.50785
20260413223650.943,20564.6900,,,83,94,11,0,8.507957
20260413223709.135,20876.2900,,,83,98,15,0,8.1609
20260413223727.070,21184.5300,,,86,98,12,0,8.160287
20260413223745.433,21500.6100,,,84,102,18,0,7.840929
20260413223803.715,21817.6200,,,86,101,15,0,7.918477
20260413223821.707,22123.6300,,,82,89,7,0,8.986094
20260413223839.578,22430.4600,,,82,94,12,0,8.508135
20260413223857.359,22737.3700,,,83,98,15,0,8.160918
20260413223915.415,23050.2300,,,89,105,16,0,7.616839
20260413223933.042,23354.3800,,,83,97,14,0,8.244928
20260413223951.194,23669.5700,,,78,99,21,0,8.078644
20260413224009.335,23980.6100,,,79,95,16,0,8.418511
20260413224027.744,24295.5100,,,81,96,15,0,8.330965
20260413224045.710,24604.7900,,,88,100,12,0,7.997794
20260413224103.937,24920.1900,,,86,104,18,0,7.690102
20260413224121.586,25218.8300,,,78,87,9,0,9.192802
20260413224139.890,25532.7000,,,83,99,16,0,8.078319
20260413224158.048,25841.8000,,,78,92,14,0,8.693089
20260413224216.184,26154.9100,,,83,100,17,0,7.998048
20260413224234.427,26471.4900,,,88,106,18,0,7.545141
20260413224252.514,26782.6800,,,84,101,17,0,7.918209
20260413224310.614,27089.5800,,,78,90,12,0,8.886744
20260413224328.883,27404.9700,,,83,99,16,0,8.078219
20260413224346.693,27704.8200,,,72,86,14,0,9.300186
