Date,Timestamp,totalResetCountPerEpisode,userResetCountVariancePerEpisode,userInterResetBothCountPerEpisode,user00ResetCountPerEpisode,user01ResetCountPerEpisode,user02ResetCountPerEpisode,user03ResetCountPerEpisode
20260419111241.551,300.9321,103,13.1875,6,27,30,26,20
20260419111257.646,602.8299,106,4.7500,8,24,26,26,30
20260419111313.496,898.9113,99,2.1875,7,23,24,25,27
20260419111329.740,1206.4260,116,4.5000,13,32,29,29,26
20260419111345.903,1512.7970,113,3.1875,9,30,27,30,26
20260419111401.884,1814.7500,112,3.5000,11,31,27,28,26
20260419111417.879,2114.4060,101,0.6875,7,24,25,26,26
20260419111433.952,2416.1590,109,0.6875,13,28,28,27,26
20260419111449.706,2712.4400,104,1.0000,10,27,27,25,25
20260419111505.879,3015.4370,106,2.2500,9,28,24,27,27
20260419111521.965,3318.6670,111,15.1875,10,24,34,25,28
20260419111537.814,3618.1560,109,8.1875,11,31,28,23,27
20260419111553.983,3919.8760,104,22.5000,7,20,32,29,23
20260419111610.102,4224.8930,113,3.1875,11,26,30,30,27
20260419111625.960,4524.5490,110,4.7500,11,31,27,25,27
20260419111642.145,4829.6660,112,2.5000,9,26,30,27,29
20260419111658.294,5134.4490,112,3.5000,13,30,25,28,29
20260419111714.296,5434.6710,104,3.0000,7,27,27,23,27
20260419111730.472,5739.0440,111,12.1875,10,26,23,30,32
20260419111746.777,6046.8030,118,2.7500,13,27,31,31,29
20260419111802.850,6347.9350,108,1.5000,11,29,27,26,26
20260419111820.493,6650.3100,103,7.1875,11,26,23,30,24
20260419111838.063,6953.2730,109,0.1875,13,27,27,28,27
20260419111855.691,7256.8130,108,0.5000,8,27,28,26,27
20260419111913.227,7555.2370,104,1.5000,11,27,26,27,24
20260419111930.724,7852.5170,96,2.5000,7,23,22,26,25
20260419111948.368,8158.1890,115,5.1875,12,31,25,29,30
20260419112005.823,8460.6530,110,4.2500,11,26,31,26,27
20260419112022.749,8761.3630,107,0.1875,12,27,26,27,27
20260419112039.249,9059.7530,104,18.5000,9,32,23,28,21
20260419112056.159,9373.3950,123,12.1875,13,33,29,35,26
20260419112112.532,9676.2470,112,2.5000,12,30,26,29,27
20260419112128.594,9980.8090,115,4.1875,14,27,27,29,32
20260419112144.726,10285.9300,116,3.5000,10,30,29,31,26
20260419112200.950,10590.8900,108,2.5000,13,26,28,25,29
20260419112217.097,10893.9400,106,6.2500,10,24,24,29,29
20260419112233.355,11200.8400,109,3.6875,12,28,28,24,29
20260419112249.462,11500.6700,95,0.6875,7,24,23,25,23
20260419112305.538,11806.8900,117,4.6875,14,29,30,32,26
20260419112321.938,12116.6600,110,0.2500,12,28,27,27,28
20260419112337.998,12418.5600,106,10.2500,10,25,29,22,30
20260419112354.169,12726.7100,116,1.0000,14,28,28,30,30
20260419112410.201,13031.7300,116,10.5000,13,29,24,30,33
20260419112426.282,13332.2800,102,4.2500,9,28,24,27,23
20260419112442.403,13637.6900,113,0.6875,10,27,29,29,28
20260419112458.515,13937.3800,101,0.6875,11,26,24,26,25
20260419112514.439,14234.7300,100,3.5000,8,25,26,27,22
20260419112530.798,14549.4200,126,2.7500,17,31,29,33,33
20260419112546.967,14853.1000,105,16.1875,10,32,28,23,22
20260419112602.889,15152.5500,106,2.7500,8,29,25,25,27
20260419112618.801,15451.8200,107,3.6875,13,29,28,24,26
20260419112634.946,15755.4000,105,6.6875,10,30,27,25,23
20260419112651.233,16065.6000,121,1.6875,12,31,29,29,32
20260419112707.528,16373.8200,112,5.0000,10,25,31,29,27
20260419112723.534,16675.0000,105,1.6875,8,25,27,28,25
20260419112739.574,16977.2000,106,6.2500,10,27,23,30,26
20260419112755.802,17282.5200,109,11.1875,12,31,22,27,29
20260419112812.017,17589.7400,118,4.7500,13,29,29,27,33
20260419112828.285,17898.9500,117,1.6875,11,28,28,30,31
20260419112844.382,18204.9100,115,2.1875,11,29,27,31,28
20260419112900.403,18506.1400,107,5.1875,10,23,28,29,27
20260419112916.459,18811.1700,115,2.1875,13,28,29,31,27
20260419112932.647,19117.7100,113,0.6875,10,27,29,28,29
20260419112948.496,19416.6400,107,6.6875,9,30,26,28,23
20260419113004.714,19724.6700,113,6.1875,11,28,28,32,25
20260419113020.774,20030.0600,113,4.6875,11,25,29,31,28
20260419113036.811,20329.7500,101,2.6875,6,24,25,24,28
20260419113052.740,20631.7100,109,1.6875,12,28,29,26,26
20260419113108.952,20937.3600,113,1.1875,11,28,28,30,27
20260419113124.963,21240.5500,112,3.5000,11,29,28,25,30
20260419113141.008,21542.2700,105,5.1875,9,30,24,26,25
20260419113157.219,21851.4000,115,1.1875,13,30,27,29,29
20260419113213.369,22156.8500,111,0.1875,10,27,28,28,28
20260419113229.244,22454.3500,101,11.1875,8,23,24,31,23
20260419113245.187,22750.6700,96,2.5000,8,26,22,25,23
20260419113301.200,23053.4000,111,7.6875,12,31,30,25,25
20260419113317.309,23360.9200,122,0.7500,12,30,32,30,30
20260419113333.229,23659.8200,104,1.0000,9,27,25,27,25
20260419113349.086,23957.9600,107,1.1875,9,25,28,27,27
20260419113404.958,24255.8900,102,2.2500,8,27,24,27,24
20260419113421.350,24566.6300,115,3.1875,13,29,31,29,26
20260419113437.335,24868.5700,111,6.6875,10,24,31,27,29
20260419113453.344,25169.6600,103,0.6875,6,25,25,26,27
20260419113509.615,25480.4300,123,9.6875,14,36,30,28,29
20260419113525.644,25780.9700,101,3.1875,7,27,24,27,23
20260419113541.887,26092.0800,121,8.1875,13,30,26,31,34
20260419113558.071,26398.0400,113,3.6875,10,31,29,27,26
20260419113614.245,26701.9400,110,4.7500,12,28,24,30,28
20260419113630.231,27005.7000,116,0.5000,12,29,28,29,30
20260419113646.208,27308.6500,113,18.1875,12,21,30,30,32
20260419113702.344,27611.6400,105,1.6875,10,28,25,27,25
20260419113718.496,27917.8000,117,3.6875,11,30,27,28,32
20260419113734.758,28225.7100,116,3.5000,13,32,27,28,29
20260419113750.944,28535.1500,120,6.5000,15,33,27,28,32
20260419113807.109,28837.0900,103,6.1875,9,30,25,24,24
20260419113823.182,29139.9100,112,3.5000,13,28,27,31,26
20260419113839.354,29449.9600,125,9.6875,16,28,29,36,32
20260419113855.521,29755.7100,110,4.7500,10,25,27,27,31
20260419113911.641,30060.8000,112,4.5000,11,28,28,25,31
20260419113927.805,30367.3700,117,6.1875,14,26,29,29,33
