Date,Timestamp,totalResetCountPerEpisode,userResetCountVariancePerEpisode,userInterResetBothCountPerEpisode,user00ResetCountPerEpisode,user01ResetCountPerEpisode,user02ResetCountPerEpisode,user03ResetCountPerEpisode,user04ResetCountPerEpisode,user05ResetCountPerEpisode,user06ResetCountPerEpisode,user07ResetCountPerEpisode,user08ResetCountPerEpisode,user09ResetCountPerEpisode
20260419120520.398,332.8335,119,7.0900,10,12,14,10,16,11,12,15,12,6,11
20260419120603.310,664.5348,108,6.9600,8,9,8,15,12,8,7,13,12,14,10
20260419120646.510,1001.7860,124,6.4400,11,10,15,10,10,16,16,12,12,14,9
20260419120729.181,1334.1200,123,6.4100,11,14,14,11,9,14,14,7,11,15,14
20260419120812.264,1670.4720,129,4.6900,11,11,16,12,10,16,15,13,10,14,12
20260419120855.070,2004.5930,122,5.9600,8,10,11,13,10,9,17,16,12,12,12
20260419120938.456,2345.3970,132,11.9600,13,14,12,9,22,16,10,12,13,12,12
20260419121021.404,2682.3260,136,10.4400,15,11,14,13,11,14,11,18,15,20,9
20260419121103.973,3015.1480,125,4.8500,10,14,11,15,9,15,14,13,9,14,11
20260419121148.568,3349.0590,133,8.6100,11,11,15,17,14,13,13,13,12,7,18
20260419121230.095,3687.5310,128,3.3600,9,14,12,11,13,10,11,12,15,14,16
20260419121310.938,4019.1210,114,4.0400,13,9,10,13,14,10,12,11,14,8,13
20260419121351.403,4350.3900,115,3.8500,11,14,9,14,13,8,13,11,10,12,11
20260419121431.836,4683.4560,124,6.4400,9,15,11,12,10,12,16,7,13,15,13
20260419121512.393,5017.6110,127,6.2100,13,12,10,15,15,11,13,17,8,13,13
20260419121553.227,5352.7640,119,11.2900,10,18,5,12,11,8,13,14,13,11,14
20260419121634.600,5685.6530,119,5.4900,7,14,11,12,14,13,9,7,13,15,11
20260419121716.328,6023.4480,129,3.2900,10,15,11,13,12,14,11,16,14,13,10
20260419121757.529,6358.6900,132,7.3600,11,10,13,12,12,9,17,16,11,16,16
20260419121838.278,6692.0120,126,7.2400,11,16,12,11,17,12,13,14,14,9,8
20260419121918.750,7019.8510,102,1.3600,5,11,9,9,10,10,13,10,9,10,11
20260419121959.422,7354.1160,129,5.2900,13,9,17,13,12,14,12,11,11,16,14
20260419122039.667,7683.9860,120,7.8000,13,8,14,14,9,14,10,10,17,10,14
20260419122120.313,8015.0650,112,9.5600,8,11,10,16,8,17,7,9,10,13,11
20260419122201.250,8350.5080,129,8.0900,12,13,18,10,11,8,17,13,13,12,14
20260419122242.190,8684.1510,114,5.8400,5,9,11,13,10,16,10,9,15,12,9
20260419122323.040,9019.4820,131,7.6900,11,14,10,12,12,14,10,20,14,14,11
20260419122403.650,9352.7160,121,2.4900,13,10,11,14,13,13,11,11,10,14,14
20260419122444.212,9686.4920,134,6.6400,18,19,15,16,11,12,13,10,13,11,14
20260419122525.092,10016.8200,119,9.0900,9,14,10,13,11,8,12,15,16,14,6
20260419122606.935,10355.5700,127,8.6100,14,12,10,9,12,16,13,16,14,17,8
20260419122648.296,10691.2100,122,4.9600,14,9,14,9,14,15,11,10,15,13,12
20260419122730.523,11026.6700,126,7.0400,11,15,13,12,14,15,17,12,8,11,9
20260419122811.839,11354.9800,107,6.8100,5,11,10,11,9,10,13,6,15,8,14
20260419122853.168,11691.7700,122,7.9600,14,8,13,12,9,14,16,13,10,17,10
20260419122933.710,12025.8100,131,7.0900,13,11,11,13,13,18,13,13,16,15,8
20260419123014.814,12362.9000,125,7.6500,13,16,8,14,13,14,12,17,9,10,12
20260419123055.724,12698.0700,120,3.0000,10,13,11,13,11,11,14,14,14,10,9
20260419123136.466,13031.0200,116,9.8400,7,16,14,12,10,12,8,17,9,11,7
20260419123216.941,13365.4400,139,5.4900,12,14,13,12,9,12,15,15,15,17,17
20260419123257.593,13695.7500,111,8.0900,9,14,11,11,8,17,9,12,8,8,13
20260419123338.694,14029.4100,125,8.8500,12,14,19,10,15,13,11,9,9,14,11
20260419123419.476,14365.0000,129,3.6900,11,13,14,15,13,11,13,10,16,10,14
20260419123500.512,14705.1800,138,9.5600,11,18,19,14,16,10,13,14,14,11,9
20260419123541.470,15039.7700,125,9.8500,11,16,10,7,13,10,17,11,12,12,17
20260419123622.425,15373.9300,116,3.0400,11,14,11,12,10,13,11,10,10,15,10
20260419123703.246,15709.7700,135,8.6500,16,13,10,13,15,17,13,18,8,16,12
20260419123744.113,16044.6300,129,7.4900,11,11,10,12,13,12,14,13,10,20,14
20260419123824.840,16378.4900,120,8.6000,9,10,8,15,14,13,17,9,8,13,13
20260419123905.295,16710.4900,121,8.6900,13,11,10,13,8,19,13,11,10,15,11
20260419123946.321,17047.8100,129,2.6900,9,10,14,10,15,13,12,13,14,14,14
20260419124026.898,17380.8700,122,5.7600,10,14,11,15,12,14,14,12,6,12,12
20260419124107.949,17715.8200,114,2.4400,8,10,14,13,12,11,12,12,11,8,11
20260419124148.703,18049.4400,119,11.0900,9,7,16,10,16,12,14,6,12,15,11
20260419124229.276,18380.9600,111,7.6900,6,12,9,10,12,6,13,8,15,11,15
20260419124309.988,18716.4200,126,7.0400,10,14,11,13,11,17,12,12,11,17,8
20260419124350.620,19050.0600,121,6.4900,13,13,19,10,10,11,12,12,13,10,11
20260419124431.140,19381.7400,114,15.4400,9,4,9,15,16,10,17,9,9,15,10
20260419124511.636,19715.8900,134,2.2400,11,14,11,14,16,13,11,13,15,14,13
20260419124552.644,20051.1500,125,7.2500,7,11,12,11,11,15,11,15,18,8,13
20260419124633.197,20382.0600,117,6.4100,8,12,15,9,14,14,9,10,15,8,11
20260419124713.797,20715.3000,125,5.4500,11,10,13,16,12,10,11,14,11,11,17
20260419124756.085,21057.0800,143,5.8100,13,16,16,11,18,12,13,18,12,13,14
20260419124837.658,21386.8600,125,14.4500,12,9,11,14,16,12,16,4,13,12,18
20260419124921.380,21720.2900,124,6.4400,11,15,12,11,11,15,13,17,10,8,12
20260419125002.767,22059.4100,142,7.1600,12,16,8,18,13,14,17,15,14,15,12
20260419125044.386,22392.5500,123,5.6100,10,13,15,11,9,11,11,9,13,16,15
20260419125127.504,22725.9200,122,5.9600,11,12,10,14,11,13,11,11,16,16,8
20260419125212.235,23064.2700,141,13.6900,14,16,12,18,11,10,8,19,13,15,19
20260419125257.945,23401.2100,131,8.0900,14,11,13,9,15,16,18,10,16,11,12
20260419125344.626,23738.8800,134,2.4400,13,14,10,15,14,13,12,13,13,14,16
20260419125426.285,24073.9600,123,2.6100,12,11,12,12,14,12,15,10,13,14,10
20260419125508.419,24410.7800,136,8.0400,13,15,20,15,15,11,12,10,11,12,15
20260419125549.965,24739.7500,109,9.6900,7,10,15,13,5,9,8,12,10,16,11
20260419125632.146,25074.2000,122,3.5600,9,12,14,15,9,14,13,12,9,12,12
20260419125714.713,25406.3500,124,2.8400,9,12,12,14,13,10,14,9,14,14,12
20260419125757.652,25741.8000,136,2.6400,18,11,14,17,14,13,11,14,14,14,14
20260419125839.158,26076.5200,133,4.8100,13,16,16,13,12,11,10,13,15,11,16
20260419125920.507,26409.7700,122,2.9600,8,11,12,13,13,15,9,10,14,13,12
20260419130002.838,26744.4800,134,6.8400,15,10,13,13,10,17,11,13,17,13,17
20260419130047.369,27079.7900,126,6.4400,11,7,12,10,12,15,14,15,16,12,13
20260419130130.587,27411.1900,118,9.3600,11,15,14,13,8,9,11,13,16,6,13
20260419130211.871,27748.2600,138,2.7600,17,13,13,13,12,11,15,14,17,15,15
20260419130254.230,28081.1500,121,4.4900,8,12,10,13,13,14,12,12,13,15,7
20260419130337.470,28416.0400,114,4.2400,8,11,10,16,12,9,13,9,11,10,13
20260419130419.640,28747.5200,114,4.4400,9,10,14,12,14,14,10,11,7,11,11
20260419130501.657,29081.3000,126,3.8400,11,11,14,13,12,11,13,16,12,9,15
20260419130545.104,29423.6300,138,8.1600,12,11,11,15,16,12,13,12,13,21,14
20260419130627.722,29754.4800,122,6.1600,7,12,15,7,15,14,15,11,11,12,10
20260419130709.696,30089.2100,125,4.2500,11,16,12,13,12,16,12,13,9,11,11
20260419130751.047,30419.7200,109,6.6900,8,7,9,10,11,7,13,14,12,15,11
20260419130833.324,30754.9000,121,16.2900,12,11,9,14,21,13,9,15,14,9,6
20260419130915.107,31089.4800,122,4.1600,13,16,10,11,13,12,15,12,13,11,9
20260419130956.399,31423.6600,125,6.2500,11,14,14,9,15,10,13,10,10,17,13
20260419131037.598,31754.4700,122,2.3600,10,10,14,14,12,11,12,11,11,12,15
20260419131119.429,32083.5400,109,4.0900,11,13,9,8,13,12,7,11,12,12,12
20260419131201.184,32419.0100,121,4.0900,10,11,13,13,11,14,8,12,15,14,10
20260419131242.668,32754.0600,126,8.0400,13,14,11,10,7,14,17,16,12,11,14
