Date,Timestamp,totalResetCountPerEpisode,userResetCountVariancePerEpisode,userInterResetBothCountPerEpisode,user00ResetCountPerEpisode,user01ResetCountPerEpisode,user02ResetCountPerEpisode,user03ResetCountPerEpisode
20260419135709.704,296.4033,107,0.1875,8,27,27,26,27
20260419135726.089,597.8793,111,6.1875,10,28,31,28,24
20260419135742.325,896.8134,108,5.5000,10,28,28,29,23
20260419135758.363,1196.4020,111,5.6875,14,31,25,26,29
20260419135814.513,1492.7060,105,1.1875,8,26,26,25,28
20260419135830.771,1790.7850,108,5.0000,13,26,30,24,28
20260419135847.563,2091.4620,111,4.1875,11,26,28,31,26
20260419135903.642,2386.4670,106,4.2500,10,28,23,27,28
20260419135919.833,2681.9710,103,0.6875,8,26,25,27,25
20260419135936.391,2980.5050,110,6.7500,11,25,25,31,29
20260419135952.960,3277.1640,103,1.1875,8,27,26,26,24
20260419140009.352,3575.2430,107,0.1875,8,27,27,26,27
20260419140026.234,3873.7220,112,2.5000,10,27,30,29,26
20260419140043.208,4172.9890,107,6.6875,7,23,30,28,26
20260419140059.809,4470.5250,107,2.1875,9,27,25,29,26
20260419140116.434,4766.8510,100,0.5000,8,26,24,25,25
20260419140132.927,5061.1010,102,1.2500,9,25,24,26,27
20260419140149.620,5360.7450,109,1.1875,10,27,27,29,26
20260419140206.305,5656.0270,100,2.0000,10,23,27,25,25
20260419140222.961,5951.3320,97,11.1875,8,23,22,30,22
20260419140239.519,6247.9460,106,5.2500,12,25,24,30,27
20260419140256.305,6553.9610,115,6.1875,13,29,29,25,32
20260419140312.798,6850.0430,106,3.2500,9,24,26,29,27
20260419140329.818,7156.5030,111,5.6875,10,29,31,25,26
20260419140346.429,7456.0030,106,0.2500,11,26,26,27,27
20260419140402.905,7752.8170,109,8.6875,9,23,30,26,30
20260419140420.214,8056.7350,114,1.2500,11,28,30,29,27
20260419140437.320,8360.7860,111,3.6875,9,27,30,25,29
20260419140453.872,8660.1200,110,4.2500,11,26,29,30,25
20260419140510.409,8959.1880,108,9.0000,9,26,32,24,26
20260419140527.025,9258.7430,107,8.1875,11,27,22,29,29
20260419140543.452,9553.3810,105,2.1875,10,26,24,28,27
20260419140559.954,9850.0630,105,3.6875,12,24,27,25,29
20260419140617.058,10146.5300,100,1.5000,8,23,26,25,26
20260419140633.449,10445.1200,119,7.6875,14,27,32,27,33
20260419140650.155,10748.0100,113,3.1875,8,27,26,30,30
20260419140706.830,11046.5200,104,8.5000,9,24,24,31,25
20260419140723.364,11340.5900,101,7.1875,9,21,27,25,28
20260419140740.033,11641.7400,112,2.5000,12,30,27,29,26
20260419140756.509,11936.7000,104,2.5000,9,27,24,28,25
20260419140813.244,12236.8700,105,4.6875,7,25,30,25,25
20260419140829.697,12533.2400,109,2.1875,10,28,25,27,29
20260419140846.328,12834.8200,113,9.6875,9,31,29,23,30
20260419140902.801,13127.8300,98,1.2500,7,24,23,25,26
20260419140919.323,13424.7400,111,1.1875,13,28,29,28,26
20260419140936.009,13725.3900,107,0.6875,8,28,26,26,27
20260419140952.535,14022.8200,102,6.2500,3,26,22,25,29
20260419141009.010,14317.3100,103,0.1875,9,26,25,26,26
20260419141025.474,14610.4300,102,0.2500,12,25,26,26,25
20260419141042.919,14906.8900,105,2.1875,10,24,28,27,26
20260419141100.584,15204.4000,105,2.1875,6,26,24,27,28
20260419141117.941,15497.2500,105,1.1875,10,28,26,26,25
20260419141135.621,15791.3000,99,3.6875,4,24,24,23,28
20260419141153.239,16088.3200,108,2.5000,7,25,28,29,26
20260419141210.451,16384.2000,105,3.6875,9,29,25,27,24
20260419141227.554,16683.0000,109,16.1875,8,27,29,32,21
20260419141245.016,16980.6500,113,2.6875,9,27,27,31,28
20260419141302.648,17288.8500,123,3.1875,15,29,29,32,33
20260419141319.605,17589.7400,112,12.5000,12,27,34,25,26
20260419141336.885,17884.3500,102,0.2500,6,25,26,26,25
20260419141354.327,18182.9200,113,10.6875,9,27,24,33,29
20260419141411.155,18478.5800,103,5.1875,7,28,26,22,27
20260419141428.275,18781.5400,117,0.6875,15,29,30,30,28
20260419141445.306,19080.5800,111,0.6875,13,27,28,27,29
20260419141502.155,19374.4900,99,1.6875,9,24,26,23,26
20260419141519.055,19669.4400,99,2.1875,8,23,24,27,25
20260419141536.183,19972.5300,117,6.1875,12,33,29,29,26
20260419141553.181,20269.3800,106,2.7500,9,26,24,28,28
20260419141610.267,20569.9300,110,4.7500,11,30,24,28,28
20260419141627.406,20870.2200,105,0.6875,9,25,26,27,27
20260419141644.309,21167.3300,109,8.1875,10,31,29,24,25
20260419141701.122,21461.6700,103,6.6875,8,25,29,22,27
20260419141717.999,21757.5500,109,2.1875,11,27,29,25,28
20260419141734.889,22055.0600,111,9.6875,13,33,25,26,27
20260419141751.965,22354.0000,109,2.6875,11,30,26,26,27
20260419141809.019,22651.3000,107,0.6875,11,27,28,26,26
20260419141826.322,22951.4000,114,10.2500,11,32,24,31,27
20260419141843.395,23250.9700,108,13.5000,8,23,29,32,24
20260419141900.614,23558.9800,118,22.7500,11,36,24,32,26
20260419141917.519,23852.1800,99,2.6875,7,26,25,22,26
20260419141934.327,24147.1100,102,0.2500,9,26,25,25,26
20260419141951.338,24448.9800,114,1.2500,9,30,29,28,27
20260419142008.153,24745.0300,107,10.6875,7,32,24,27,24
20260419142025.064,25043.3800,114,2.2500,14,30,27,27,30
20260419142042.088,25343.9900,113,10.6875,11,29,33,27,24
20260419142059.012,25643.8200,113,3.6875,12,29,29,25,30
20260419142116.041,25943.5200,106,4.7500,8,29,27,27,23
20260419142132.820,26236.8800,96,3.5000,8,25,26,24,21
20260419142149.911,26538.6200,111,7.1875,12,32,28,26,25
20260419142206.822,26836.9200,106,2.2500,8,26,29,25,26
20260419142223.495,27129.4800,101,1.1875,8,25,27,24,25
20260419142240.598,27434.5800,117,8.6875,14,25,28,32,32
20260419142257.838,27739.0200,117,2.6875,15,28,28,29,32
20260419142314.909,28039.7200,109,1.6875,12,26,28,26,29
20260419142331.960,28340.9100,112,6.0000,11,26,26,32,28
20260419142348.972,28637.5500,102,2.2500,7,25,24,25,28
20260419142405.924,28934.8200,108,2.0000,10,29,27,27,25
20260419142422.792,29230.8700,107,8.1875,9,30,29,25,23
20260419142439.742,29527.5600,101,1.6875,7,26,26,26,23
