frame,time,userId,cellBoundaryRisk,physicalBoundaryRisk,userRisk,seedMotionPenalty,cellShapePenaltyReserved,smoothRisk,weightedTotalRisk,dominantRisk,minCellClearance,minPhysicalClearance,minPairSeparation,minOccupancySeparation,seedDelta,frameMeanCellRisk,frameMeanPhysicalRisk,frameMeanUserRisk,frameMeanSmoothRisk,frameWeightedTotalRisk
10,0.111000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,1.866342,4.086370,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.111000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,3.942080,3.942080,7.891459,7.891459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.111000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.640320,0.640320,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.111000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.310050,2.310050,7.891459,7.891459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.222000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,1.866342,4.086370,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.222000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,3.942080,3.942080,7.891459,7.891459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.222000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.640320,0.640320,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.222000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.310050,2.310050,7.891459,7.891459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.333000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,1.866342,4.086370,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.004160,0.000832
30,0.333000,1,0.000000,0.000000,0.000000,0.016642,0.000000,0.016642,0.003328,None,3.662561,3.662561,7.987480,7.987480,0.004160,0.000000,0.000000,0.000000,0.004160,0.000832
30,0.333000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.640320,0.640320,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.004160,0.000832
30,0.333000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.310050,2.310050,7.987480,7.987480,0.000000,0.000000,0.000000,0.000000,0.004160,0.000832
40,0.444000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,1.866342,4.086370,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.016197,0.003239
40,0.444000,1,0.000000,0.000000,0.000000,0.035785,0.000000,0.035785,0.007157,None,2.807147,2.807147,8.881618,8.881618,0.008946,0.000000,0.000000,0.000000,0.016197,0.003239
40,0.444000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.640320,0.640320,3.732682,3.732682,0.000000,0.000000,0.000000,0.000000,0.016197,0.003239
40,0.444000,3,0.000000,0.000000,0.000000,0.029004,0.000000,0.029004,0.005801,None,1.871899,1.871899,8.881618,8.881618,0.007251,0.000000,0.000000,0.000000,0.016197,0.003239
50,0.555000,0,0.000000,0.000000,0.000000,0.013195,0.000000,0.013195,0.002639,None,2.023494,4.282563,4.003558,4.003558,0.003299,0.000000,0.000000,0.000000,0.025967,0.005193
50,0.555000,1,0.000000,0.000000,0.000000,0.041691,0.000000,0.041691,0.008338,None,2.365929,2.365929,9.119652,9.119652,0.010423,0.000000,0.000000,0.000000,0.025967,0.005193
50,0.555000,2,0.000000,0.000000,0.000000,0.009324,0.000000,0.009324,0.001865,None,0.572122,0.572122,4.003558,4.003558,0.002331,0.000000,0.000000,0.000000,0.025967,0.005193
50,0.555000,3,0.000000,0.000000,0.000000,0.039660,0.000000,0.039660,0.007932,None,1.526766,1.526766,9.167583,9.167583,0.009915,0.000000,0.000000,0.000000,0.025967,0.005193
60,0.666000,0,0.000000,0.000000,0.000000,0.034757,0.000000,0.034757,0.006951,None,2.463695,4.740396,4.956831,4.956831,0.008689,0.224733,0.232313,0.000000,0.038709,0.097635
60,0.666000,1,0.000000,0.000000,0.000000,0.043508,0.000000,0.043508,0.008702,None,2.150348,2.150348,9.040833,9.040833,0.010877,0.224733,0.232313,0.000000,0.038709,0.097635
60,0.666000,2,0.898932,0.929253,0.000000,0.033628,0.000000,0.033628,0.366299,Wall,0.035374,0.035374,4.956831,4.956831,0.008407,0.224733,0.232313,0.000000,0.038709,0.097635
60,0.666000,3,0.000000,0.000000,0.000000,0.042943,0.000000,0.042943,0.008589,None,1.395552,1.395552,9.371364,9.371364,0.010736,0.224733,0.232313,0.000000,0.038709,0.097635
70,0.777000,0,0.000000,0.000000,0.000000,0.041401,0.000000,0.041401,0.008280,None,2.629492,4.923253,5.304251,5.304251,0.010350,0.250000,0.250000,0.000000,0.042635,0.108527
70,0.777000,1,0.000000,0.000000,0.000000,0.044072,0.000000,0.044072,0.008814,None,2.008041,2.008041,8.892396,8.892396,0.011018,0.250000,0.250000,0.000000,0.042635,0.108527
70,0.777000,2,1.000000,1.000000,0.000000,0.041113,0.000000,0.041113,0.408223,Wall,-0.242452,-0.242452,5.304251,5.304251,0.010278,0.250000,0.250000,0.000000,0.042635,0.108527
70,0.777000,3,0.000000,0.000000,0.000000,0.043954,0.000000,0.043954,0.008791,None,1.344279,1.344279,9.545857,9.545857,0.010988,0.250000,0.250000,0.000000,0.042635,0.108527
80,0.888000,0,0.000000,0.000000,0.000000,0.043453,0.000000,0.043453,0.008691,None,2.755302,5.053892,5.553880,5.553880,0.010863,0.250000,0.250000,0.000000,0.043846,0.108769
80,0.888000,1,0.000000,0.000000,0.000000,0.044244,0.000000,0.044244,0.008849,None,1.886029,1.886029,8.842047,8.842047,0.011061,0.250000,0.250000,0.000000,0.043846,0.108769
80,0.888000,2,1.000000,1.000000,0.000000,0.043422,0.000000,0.043422,0.408684,Wall,-0.343947,-0.343947,5.553880,5.553880,0.010855,0.250000,0.250000,0.000000,0.043846,0.108769
80,0.888000,3,0.000000,0.000000,0.000000,0.044265,0.000000,0.044265,0.008853,None,1.317234,1.317234,9.713762,9.713762,0.011066,0.250000,0.250000,0.000000,0.043846,0.108769
90,0.999000,0,0.000000,0.000000,0.000000,0.044084,0.000000,0.044084,0.008817,None,2.867326,5.166888,5.770436,5.770436,0.011021,0.250000,0.250000,0.000000,0.044220,0.108844
90,0.999000,1,0.000000,0.000000,0.000000,0.044300,0.000000,0.044300,0.008860,None,1.769337,1.769337,8.831614,8.831614,0.011075,0.250000,0.250000,0.000000,0.044220,0.108844
90,0.999000,2,1.000000,1.000000,0.000000,0.044134,0.000000,0.044134,0.408827,Wall,-0.385263,-0.385263,5.770436,5.770436,0.011033,0.250000,0.250000,0.000000,0.044220,0.108844
90,0.999000,3,0.000000,0.000000,0.000000,0.044362,0.000000,0.044362,0.008872,None,1.298477,1.298477,9.881922,9.881922,0.011090,0.250000,0.250000,0.000000,0.044220,0.108844
100,1.110000,0,0.000000,0.000000,0.000000,0.044277,0.000000,0.044277,0.008855,None,2.975201,5.274408,5.977574,5.977574,0.011069,0.250000,0.250000,0.000000,0.044334,0.108867
100,1.110000,1,0.000000,0.000000,0.000000,0.044315,0.000000,0.044315,0.008863,None,1.654250,1.654250,8.831796,8.831796,0.011079,0.250000,0.250000,0.000000,0.044334,0.108867
100,1.110000,2,1.000000,1.000000,0.000000,0.044353,0.000000,0.044353,0.408871,Wall,-0.408106,-0.408106,5.977574,5.977574,0.011088,0.250000,0.250000,0.000000,0.044334,0.108867
100,1.110000,3,0.000000,0.000000,0.000000,0.044391,0.000000,0.044391,0.008878,None,1.283633,1.283633,10.052050,10.052050,0.011098,0.250000,0.250000,0.000000,0.044334,0.108867
110,1.221001,0,0.000000,0.000000,0.000000,0.044329,0.000000,0.044329,0.008866,None,3.048044,5.379905,6.181955,6.181955,0.011082,0.250000,0.250000,0.000000,0.044369,0.108874
110,1.221001,1,0.000000,0.000000,0.000000,0.044322,0.000000,0.044322,0.008864,None,1.539795,1.539795,8.834190,8.834190,0.011080,0.250000,0.250000,0.000000,0.044369,0.108874
110,1.221001,2,1.000000,1.000000,0.000000,0.044421,0.000000,0.044421,0.408884,Wall,-0.423754,-0.423754,6.181955,6.181955,0.011105,0.250000,0.250000,0.000000,0.044369,0.108874
110,1.221001,3,0.000000,0.000000,0.000000,0.044407,0.000000,0.044407,0.008881,None,1.272143,1.272143,10.224520,10.224520,0.011102,0.250000,0.250000,0.000000,0.044369,0.108874
120,1.332001,0,0.000000,0.000000,0.000000,0.044348,0.000000,0.044348,0.008870,None,3.046081,5.484255,6.385342,6.385342,0.011087,0.250000,0.250000,0.000000,0.044377,0.108876
120,1.332001,1,0.000000,0.000000,0.000000,0.044323,0.000000,0.044323,0.008865,None,1.426250,1.426250,8.837585,8.837585,0.011081,0.250000,0.250000,0.000000,0.044377,0.108876
120,1.332001,2,1.000000,1.000000,0.000000,0.044438,0.000000,0.044438,0.408888,Wall,-0.435333,-0.435333,6.385342,6.385342,0.011109,0.250000,0.250000,0.000000,0.044377,0.108876
120,1.332001,3,0.000000,0.000000,0.000000,0.044401,0.000000,0.044401,0.008880,None,1.263776,1.263776,10.398010,10.398010,0.011100,0.250000,0.250000,0.000000,0.044377,0.108876
130,1.443002,0,0.000000,0.000000,0.000000,0.044361,0.000000,0.044361,0.008872,None,3.044038,5.587676,6.588103,6.588103,0.011090,0.250000,0.250000,0.000000,0.044384,0.108877
130,1.443002,1,0.000000,0.000000,0.000000,0.044325,0.000000,0.044325,0.008865,None,1.316069,1.316069,8.848677,8.848677,0.011081,0.250000,0.250000,0.000000,0.044384,0.108877
130,1.443002,2,1.000000,1.000000,0.000000,0.044446,0.000000,0.044446,0.408889,Wall,-0.443292,-0.443292,6.588103,6.588103,0.011111,0.250000,0.250000,0.000000,0.044384,0.108877
130,1.443002,3,0.000000,0.000000,0.000000,0.044405,0.000000,0.044405,0.008881,None,1.258281,1.258281,10.354940,10.354940,0.011101,0.250000,0.250000,0.000000,0.044384,0.108877
140,1.554002,0,0.000000,0.000000,0.000000,0.044358,0.000000,0.044358,0.008872,None,3.042350,5.690073,6.790147,6.790147,0.011090,0.250000,0.250000,0.000000,0.044385,0.108877
140,1.554002,1,0.000000,0.000000,0.000000,0.044323,0.000000,0.044323,0.008865,None,1.208557,1.208557,8.864985,8.864985,0.011081,0.250000,0.250000,0.000000,0.044385,0.108877
140,1.554002,2,1.000000,1.000000,0.000000,0.044450,0.000000,0.044450,0.408890,Wall,-0.447750,-0.447750,6.790147,6.790147,0.011113,0.250000,0.250000,0.000000,0.044385,0.108877
140,1.554002,3,0.000000,0.000000,0.000000,0.044407,0.000000,0.044407,0.008881,None,1.255891,1.255891,10.278050,10.278050,0.011102,0.250000,0.250000,0.000000,0.044385,0.108877
150,1.665003,0,0.000000,0.000000,0.000000,0.044360,0.000000,0.044360,0.008872,None,3.040915,5.791450,6.991343,6.991343,0.011090,0.250000,0.250000,0.000000,0.044382,0.108876
150,1.665003,1,0.000000,0.000000,0.000000,0.044317,0.000000,0.044317,0.008863,None,1.102820,1.102820,8.882159,8.882159,0.011079,0.250000,0.250000,0.000000,0.044382,0.108876
150,1.665003,2,1.000000,1.000000,0.000000,0.044444,0.000000,0.044444,0.408889,Wall,-0.448719,-0.448719,6.991343,6.991343,0.011111,0.250000,0.250000,0.000000,0.044382,0.108876
150,1.665003,3,0.000000,0.000000,0.000000,0.044405,0.000000,0.044405,0.008881,None,1.256451,1.256451,10.203380,10.203380,0.011101,0.250000,0.250000,0.000000,0.044382,0.108876
160,1.776003,0,0.000000,0.000000,0.000000,0.044359,0.000000,0.044359,0.008872,None,3.039470,5.891779,7.191751,7.191751,0.011090,0.250000,0.250000,0.000000,0.044383,0.108877
160,1.776003,1,0.000000,0.000000,0.000000,0.044315,0.000000,0.044315,0.008863,None,0.998446,0.998446,8.898562,8.898562,0.011079,0.250000,0.250000,0.000000,0.044383,0.108877
160,1.776003,2,1.000000,1.000000,0.000000,0.044452,0.000000,0.044452,0.408891,Wall,-0.446258,-0.446258,7.191751,7.191751,0.011113,0.250000,0.250000,0.000000,0.044383,0.108877
160,1.776003,3,0.000000,0.000000,0.000000,0.044407,0.000000,0.044407,0.008881,None,1.260106,1.260106,10.130900,10.130900,0.011102,0.250000,0.250000,0.000000,0.044383,0.108877
170,1.887004,0,0.000000,0.000000,0.000000,0.044356,0.000000,0.044356,0.008871,None,3.032447,5.990986,7.391087,7.391087,0.011089,0.250000,0.250000,0.000000,0.040224,0.108045
170,1.887004,1,0.000000,0.000000,0.000000,0.027682,0.000000,0.027682,0.005536,None,0.936296,0.936296,8.867930,8.867930,0.006920,0.250000,0.250000,0.000000,0.040224,0.108045
170,1.887004,2,1.000000,1.000000,0.000000,0.044444,0.000000,0.044444,0.408889,Wall,-0.440146,-0.440146,7.391087,7.391087,0.011111,0.250000,0.250000,0.000000,0.040224,0.108045
170,1.887004,3,0.000000,0.000000,0.000000,0.044412,0.000000,0.044412,0.008882,None,1.266777,1.266777,10.061020,10.061020,0.011103,0.250000,0.250000,0.000000,0.040224,0.108045
