Date,Timestamp,episodeObjectId,frame,simTime,runtimeUnitId,otherRuntimeUnitId,runtimePairMinId,runtimePairMaxId,resetEventType,isBidirectionalUserPair,interResetDistance,cumulativeDistance
20260507163720.940,4.9173,1,10,4.917300,2,-1,-1,-1,WALL_RESET,0,4.112500,4.112500
20260507163721.060,7.0041,0,13,7.004100,1,-1,-1,-1,WALL_RESET,0,6.989849,6.989849
20260507163721.176,9.0465,1,17,9.046500,2,4,2,4,USER_RESET,0,1.842714,5.955215
20260507163721.196,9.4350,2,18,9.434999,3,-1,-1,-1,WALL_RESET,0,8.351996,8.351996
20260507163721.261,10.8669,3,20,10.866900,4,-1,-1,-1,WALL_RESET,0,9.451805,9.451805
20260507163721.375,13.1646,1,24,13.164600,2,-1,-1,-1,WALL_RESET,0,1.788420,7.743634
20260507163721.762,19.5360,0,36,19.536000,1,-1,-1,-1,WALL_RESET,0,8.772661,15.762510
20260507163721.939,22.2111,3,41,22.211100,4,1,1,4,USER_RESET,1,8.412939,17.864740
20260507163721.939,22.2111,0,41,22.211100,1,4,1,4,USER_RESET,1,0.499036,16.261550
20260507163721.945,22.3110,2,41,22.311000,3,-1,-1,-1,WALL_RESET,0,9.829247,18.181240
20260507163722.104,25.3746,0,46,25.374600,1,-1,-1,-1,WALL_RESET,0,1.120319,17.381860
20260507163722.158,26.1294,1,48,26.129400,2,-1,-1,-1,WALL_RESET,0,10.270150,18.013780
20260507163722.356,29.8368,2,54,29.836800,3,-1,-1,-1,WALL_RESET,0,4.469498,22.650740
20260507163722.761,36.1416,1,66,36.141600,2,4,2,4,PROACTIVE_USER_RESET,1,6.532522,24.546300
20260507163722.765,36.2082,0,66,36.208200,1,-1,-1,-1,WALL_RESET,0,8.132891,25.514760
20260507163723.182,43.1679,2,78,43.167900,3,-1,-1,-1,WALL_RESET,0,9.845829,32.496570
20260507163723.223,43.8117,3,80,43.811700,4,-1,-1,-1,WALL_RESET,0,17.094550,34.959290
20260507163723.353,46.3980,0,84,46.398000,1,-1,-1,-1,WALL_RESET,0,7.406818,32.921570
20260507163723.483,48.5625,1,88,48.562500,2,-1,-1,-1,WALL_RESET,0,8.862095,33.408400
20260507163723.736,51.9480,2,94,51.948000,3,1,1,3,PROACTIVE_USER_RESET,1,5.980629,38.477200
20260507163723.804,52.9470,0,96,52.947000,1,3,1,3,USER_RESET,0,3.496101,36.417680
20260507163724.060,57.5424,3,104,57.542400,4,-1,-1,-1,WALL_RESET,0,9.930641,44.889930
20260507163724.148,59.1297,0,107,59.129700,1,-1,-1,-1,WALL_RESET,0,3.792927,40.210600
20260507163724.243,60.9834,1,111,60.983400,2,-1,-1,-1,WALL_RESET,0,10.170100,43.578500
20260507163724.280,61.8048,2,112,61.804800,3,-1,-1,-1,WALL_RESET,0,6.707100,45.184300
20260507163724.639,67.3659,3,122,67.365900,4,-1,-1,-1,WALL_RESET,0,6.600040,51.489970
20260507163724.764,69.2751,0,126,69.275100,1,-1,-1,-1,WALL_RESET,0,6.605011,46.815610
20260507163725.063,73.7262,2,134,73.726200,3,-1,-1,-1,WALL_RESET,0,9.228607,54.412910
20260507163725.337,78.3327,1,142,78.332700,2,-1,-1,-1,WALL_RESET,0,12.778190,56.356680
20260507163725.545,81.5961,3,148,81.596100,4,-1,-1,-1,WALL_RESET,0,10.727100,62.217080
20260507163725.643,83.1501,0,151,83.150100,1,-1,-1,-1,WALL_RESET,0,10.912760,57.728370
20260507163725.934,87.8232,2,159,87.823200,3,-1,-1,-1,WALL_RESET,0,10.824240,65.237140
20260507163726.134,90.7203,1,164,90.720300,2,-1,-1,-1,WALL_RESET,0,8.908562,65.265240
20260507163726.171,91.1976,3,165,91.197600,4,1,1,4,PROACTIVE_USER_RESET,1,7.059071,69.276150
20260507163726.414,95.6931,0,173,95.693100,1,-1,-1,-1,WALL_RESET,0,9.068588,66.796960
20260507163726.629,99.3339,2,180,99.333900,3,-1,-1,-1,WALL_RESET,0,8.853447,74.090590
20260507163726.774,101.8869,3,184,101.886900,4,-1,-1,-1,WALL_RESET,0,7.893425,77.169570
20260507163726.899,104.1291,1,188,104.129100,2,-1,-1,-1,WALL_RESET,0,10.367570,75.632810
