triggerIdInLog,episodeObjectId,triggerFrame,triggerTime,runtimePairMinId,runtimePairMaxId,runtimeUnitAId,runtimeUnitBId,judgeMode,horizonSeconds,triggerDistance,triggerClosingSpeed,unitMinStatus,unitMaxStatus,predictedPairType
1,0,40,21.989100,1,4,1,4,Recoverability,1.500000,1.235238,1.265211,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
2,1,66,36.141600,2,4,2,4,Recoverability,1.500000,1.572589,1.582646,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
3,0,94,51.948000,1,3,1,3,Recoverability,1.500000,1.932215,1.976980,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
4,0,165,91.197600,1,4,1,4,Recoverability,1.500000,1.634864,1.668918,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
5,1,280,155.222400,2,4,2,4,Recoverability,1.500000,1.338054,1.402370,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
6,1,403,223.443000,2,4,2,4,Recoverability,1.500000,1.646388,1.917541,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
7,0,503,278.687700,1,2,1,2,Recoverability,1.500000,1.558252,1.578683,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
1,4,559,309.601200,5,8,5,8,Recoverability,1.500000,1.696770,1.885387,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
2,4,591,327.827400,5,6,5,6,Recoverability,1.500000,1.902051,1.973879,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
3,5,620,343.989000,6,7,6,7,Recoverability,1.500000,1.598935,1.682130,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
4,5,681,377.744100,6,7,6,7,Recoverability,1.500000,1.900058,1.993186,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
5,5,758,420.068400,6,8,6,8,Recoverability,1.500000,1.539368,1.549935,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
6,6,782,433.421700,7,8,7,8,Recoverability,1.500000,1.246334,1.236861,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
7,4,849,470.684400,5,6,5,6,Recoverability,1.500000,1.398317,1.625306,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
8,5,856,474.458400,6,8,6,8,Recoverability,1.500000,1.828009,1.850599,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
9,5,997,553.101900,6,8,6,8,Recoverability,1.500000,1.487592,1.510156,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
10,4,1012,561.249300,5,6,5,6,Recoverability,1.500000,1.552964,1.800638,IDLE,IDLE,BIDIRECTIONAL_USER_PAIR
